mol_id_a,mol_id_b,mol_id_c,x_a,x_b,x_c,dn_linear,dn_feature
230,3381,21380,0.05,0.75,0.19999999999999996,36.129071861893806,33.584057896461616
230,3381,21380,0.05,0.8,0.1499999999999999,36.13443642437974,33.58398627368724
230,3381,21380,0.05,0.8500000000000001,0.09999999999999987,36.13980098686568,33.58398627368724
230,3381,21380,0.05,0.9,0.04999999999999993,36.145165549351624,33.58398627368724
230,3381,21380,0.05,0.9500000000000001,0.0,36.15053011183757,33.58057090792605
230,3381,21380,0.1,0.0,0.9,36.082093849278124,33.737514959938
230,3381,21380,0.1,0.05,0.85,36.08745841176406,33.738069016027865
230,3381,21380,0.1,0.1,0.8,36.092822974250005,33.59764239764203
230,3381,21380,0.1,0.15000000000000002,0.75,36.09818753673595,33.5970420513478
230,3381,21380,0.1,0.2,0.7,36.103552099221886,33.5970420513478
230,3381,21380,0.1,0.25,0.65,36.10891666170783,33.59486456795337
230,3381,21380,0.1,0.30000000000000004,0.6,36.114281224193775,33.59486456795337
230,3381,21380,0.1,0.35000000000000003,0.55,36.11964578667971,33.594026169241154
230,3381,21380,0.1,0.4,0.5,36.12501034916565,33.594026169241154
230,3381,21380,0.1,0.45,0.45,36.130374911651586,33.614788510942184
230,3381,21380,0.1,0.5,0.4,36.13573947413753,33.614788510942184
230,3381,21380,0.1,0.55,0.35,36.141104036623474,33.61193202755491
230,3381,21380,0.1,0.6000000000000001,0.29999999999999993,36.14646859910941,33.5843158675991
230,3381,21380,0.1,0.65,0.25,36.151833161595356,33.5843158675991
230,3381,21380,0.1,0.7000000000000001,0.19999999999999996,36.15719772408129,33.5843158675991
230,3381,21380,0.1,0.75,0.15000000000000002,36.16256228656724,33.5843158675991
230,3381,21380,0.1,0.8,0.09999999999999998,36.167926849053174,33.5843158675991
230,3381,21380,0.1,0.8500000000000001,0.04999999999999993,36.17329141153911,33.39777161278664
230,3381,21380,0.1,0.9,0.0,36.178655974025055,33.394356247025456
230,3381,21380,0.15000000000000002,0.0,0.85,36.115584273951555,33.75188910936935
230,3381,21380,0.15000000000000002,0.05,0.7999999999999999,36.12094883643749,33.75244316545922
230,3381,21380,0.15000000000000002,0.1,0.75,36.126313398923436,33.61201654707339
230,3381,21380,0.15000000000000002,0.15000000000000002,0.7,36.13167796140937,33.61201654707339
230,3381,21380,0.15000000000000002,0.2,0.6499999999999999,36.13704252389532,33.61201654707339
