mol_id,smiles,dn_pred_rf,dn_pred_xgb,dn_pred_ens,MW,LogP,TPSA,Nrot,SA
104,O=CC(O)O,18.27935076876119,18.268631,18.282175289573196,76.051,-1.504,57.53,1,1.43
143,NNC=O,26.37245214328309,26.493923,26.425225303007494,60.056000000000004,-1.3939000000000001,55.12,1,1.38
144,CNNC=O,26.410429139683995,26.677225,26.54574383453852,74.08300000000001,-1.1332,41.129999999999995,2,1.6099999999999999
146,CN(C)NC=O,27.14270620597172,27.134186,27.152650558391095,88.10999999999999,-0.7910000000000001,32.34,2,1.66
147,O=CNN1CC1,27.04675433008019,26.904905,26.96627567325637,86.09400000000001,-1.0370000000000001,32.11,2,2.16
150,O=CNC=O,24.21163660916965,24.362259,24.300099975237558,73.051,-1.1112000000000002,46.17,2,1.6099999999999999
168,O=CNC(O)O,23.319195646823324,23.357992,23.355590086556344,91.06599999999999,-1.9994,69.56,2,1.66
174,O=CCO,18.98664299889076,18.89087,18.927231084910176,60.052,-0.8224,37.3,1,1.38
251,NC(=O)CO,23.894202690478448,23.773315,23.833637291280162,75.067,-1.536,63.32000000000001,1,1.43
256,NCC(N)=O,26.40857964139516,26.333992,26.37510127877932,74.08299999999998,-1.5696000000000006,69.11,1,1.43
257,CNCC(N)=O,26.93677909421673,26.938871,26.924087215796636,88.11,-1.3089,55.12,2,1.66
259,CN(C)CC(N)=O,27.66035862126384,27.723907,27.69151325138828,102.137,-0.9666999999999997,46.33,2,1.71
260,NC(=O)CN1CC1,27.53259730616767,27.54143,27.531765918707748,100.121,-1.2127,46.1,2,2.21
264,NC(=O)CC(N)=O,26.07685910239802,26.074947,26.077326550762663,102.093,-1.6528999999999998,86.18,2,1.71
279,NC(=O)CC(O)O,23.495362901549665,23.424835,23.461188537344334,105.09299999999998,-1.8275000000000003,83.55000000000001,2,1.71
363,CNC(=O)CO,24.20723099578983,24.256119,24.237425249554633,89.094,-1.2753000000000003,49.33,1,1.48
368,CNC(=O)CN,26.928473038968985,26.910013,26.912928961564546,88.11000000000001,-1.3089,55.120000000000005,1,1.48
369,CNCC(=O)NC,27.45020102671857,27.452778,27.462072677939872,102.13699999999999,-1.0481999999999998,41.13,2,1.71
371,CNC(=O)CN(C)C,27.88048310374665,28.067402,27.96992111382387,116.164,-0.7059999999999997,32.34,2,1.7599999999999998
372,CNC(=O)CN1CC1,27.697556644309444,27.698978,27.70041079915549,114.14800000000001,-0.9519999999999997,32.11,2,2.26
431,O=CNCO,24.16148108954476,24.218622,24.179924579491924,75.067,-1.3178000000000003,49.33,2,1.6099999999999999
436,NCNC=O,26.603166006964297,26.737532,26.67354060418752,74.083,-1.3514000000000002,55.12,2,1.6099999999999999
437,CNCNC=O,27.09701323416992,27.067394,27.09219620657154,88.10999999999999,-1.0907,41.129999999999995,3,1.84
440,O=CNCN1CC1,27.64980789616616,27.65156,27.641927293067603,100.121,-0.9945000000000002,32.11,3,2.39
446,NC(=O)CNC=O,26.202119262098478,26.102549,26.142892781261104,102.09299999999998,-1.7823000000000004,72.19,3,1.8900000000000001
447,CNC(=O)CNC=O,26.52481554066189,26.48447,26.50964267167629,116.11999999999999,-1.5216,58.2,3,1.94
461,O=CNCC(O)O,23.65053953935834,23.594883,23.627022106041785,105.09299999999998,-1.9568999999999999,69.56,3,1.8900000000000001
581,O=C1NC(=O)C(O)N1,25.106784346357465,25.000792,25.07545745995027,116.07599999999998,-1.8558,78.43,0,1.9
586,NC1NC(=O)NC1=O,27.800679780680984,27.840048,27.792696920306323,115.09199999999998,-1.8894000000000002,84.22,0,1.9
587,CNC1NC(=O)NC1=O,28.14285383037252,28.165245,28.149250830702314,129.119,-1.6286999999999994,70.22999999999999,1,2.13
589,CN(C)C1NC(=O)NC1=O,28.358446213300315,28.391035,28.367388336956267,143.146,-1.2865,61.440000000000005,1,2.1799999999999997
590,O=C1NC(=O)C(N2CC2)N1,28.339214375117443,28.239555,28.285247846927454,141.13,-1.5324999999999995,61.21,1,2.6799999999999997
593,O=CC1NC(=O)NC1=O,25.739465158619275,25.798258,25.75593167685884,128.087,-1.6067,75.27000000000001,1,2.13
596,NC(=O)C1NC(=O)NC1=O,27.13383781036178,26.939531,27.06983686827717,143.10199999999998,-2.3203000000000005,101.28999999999999,1,2.1799999999999997
597,CNC(=O)C1NC(=O)NC1=O,27.42736606145582,27.455553,27.43240620292155,157.129,-2.0595999999999997,87.30000000000001,1,2.23
598,N#CC1NC(=O)NC1=O,27.604330003779705,27.207777,27.408295832196387,125.08699999999999,-1.2820200000000002,81.99000000000001,0,1.95
611,O=C1NC(=O)C(C(O)O)N1,25.011195126455448,24.906647,24.956071054689346,146.102,-2.4949000000000003,98.66000000000001,1,2.1799999999999997
657,CON,24.94206302725518,24.941917,24.94011994153555,47.056999999999995,-0.4935,35.25,0,1.15
658,CNOC,25.63654161553572,25.477577,25.550701191138476,61.084,-0.23280000000000012,21.259999999999998,1,1.38
668,COS,22.06782498331461,22.198019,22.131639498939684,64.109,0.4776000000000001,9.23,0,1.15
782,NCCO,24.95319054396764,24.983505,24.94654803824749,61.083999999999996,-1.0626000000000002,46.25,1,1.38
783,CNCCO,25.481088394434813,25.488317,25.48100574646074,75.11099999999999,-0.8019000000000001,32.26,2,1.6099999999999999
785,CN(C)CCO,26.04310035608361,26.09641,26.079263829852536,89.13799999999999,-0.45970000000000016,23.47,2,1.66
786,OCCN1CC1,25.98242047544068,26.044449,26.01500852169063,87.122,-0.7057000000000002,23.240000000000002,2,2.16
1160,CNO,24.86814776759531,25.242842,25.008088874173644,47.057,-0.40499999999999997,32.26,0,1.15
1163,CNN,27.849723321804515,28.216114,27.981972230954383,46.073,-0.9205000000000001,38.05,0,1.15
1164,CNNC,28.503677851462097,28.546406,28.518951942497072,60.10000000000001,-0.6598000000000002,24.06,1,1.38
1165,CCNNC,29.272757835678064,29.44726,29.345961416513116,74.127,-0.2697000000000003,24.06,2,1.6099999999999999
1166,CNN(C)C,28.869330886226106,28.896503,28.88533643079096,74.127,-0.3176000000000001,15.27,1,1.43
1167,CNN1CC1,28.64355793752457,28.643684,28.64812248553477,72.111,-0.5636000000000001,15.04,1,1.93
1173,CNC#N,27.161728289397853,26.885489,27.045430069129665,56.068,-0.31312,35.82,0,1.2
