run,rank,feature
2,127,Chi1
2,128,maccs_88
2,129,fr_ArN
2,130,FractionCSP3
2,131,SlogP_VSA3
2,132,morgan_337
2,133,Chi2v
2,134,PEOE_VSA8
2,135,Ipc
2,136,Chi2v1
2,137,morgan_427
2,138,BalabanJ
2,139,Chi2v0
2,140,n_S
2,141,Chi0
2,142,Chi3v1
2,143,maccs_106
2,144,maccs_77
2,145,maccs_80
2,146,VSA_EState3
2,147,morgan_278
2,148,Chi3v
2,149,morgan_420
2,150,maccs_112
2,151,VSA_EState10
2,152,morgan_379
2,153,Chi4v0
2,154,Chi4v
2,155,EState_VSA2
2,156,Chi4v1
2,157,EState_VSA6
2,158,Chi3v0
2,159,EState_VSA9
2,160,morgan_302
2,161,maccs_140
2,162,fr_para_hydroxylation
2,163,PEOE_VSA5
2,164,maccs_102
2,165,SMR_VSA6
2,166,PEOE_VSA2
2,167,fr_imidazole
2,168,maccs_162
2,169,EState_VSA4
2,170,maccs_38
2,171,morgan_433
2,172,PEOE_VSA10
2,173,fr_pyridine
2,174,fr_ether
2,175,maccs_94
2,176,PEOE_VSA9
2,177,VSA_EState5
2,178,EState_VSA7
2,179,SlogP_VSA6
2,180,SlogP_VSA4
2,181,n_heavy
2,182,HeavyAtomCount
2,183,maccs_122
2,184,RingCount
2,185,maccs_124
2,186,EState_VSA3
2,187,maccs_133
2,188,EState_VSA5
2,189,morgan_330
2,190,morgan_123
2,191,maccs_165
2,192,fr_C_O
2,193,maccs_135
2,194,morgan_62
2,195,morgan_77
2,196,NumAliphaticRings
2,197,morgan_138
2,198,maccs_132
2,199,NumRotatableBonds
2,200,maccs_51
3,1,maccs_161
3,2,n_N
3,3,SMR_VSA3
3,4,maccs_158
3,5,maccs_151
3,6,maccs_142
3,7,SlogP_VSA1
3,8,SMR_VSA1
3,9,fr_NH0
3,10,mean_electronegativity
3,11,n_F
3,12,maccs_121
3,13,MeanEStateIndex
3,14,HOMO_proxy
3,15,EState_VSA10
3,16,SlogP_VSA10
3,17,HL_gap_proxy
3,18,MaxAbsEStateIndex
3,19,MaxEStateIndex
3,20,BCUT2D_MWHI
3,21,EState_VSA8
3,22,maccs_111
3,23,maccs_156
3,24,n_X_halogen
3,25,dipole_proxy
3,26,fr_halogen
3,27,fr_Ar_N
3,28,HallKierAlpha
3,29,fr_alkyl_halide
3,30,VSA_EState1
3,31,LUMO_proxy
3,32,MaxPartialCharge
3,33,MinEStateIndex
3,34,NumAromaticHeterocycles
3,35,MinAbsPartialCharge
3,36,maccs_42
3,37,maccs_100
3,38,maccs_84
3,39,NOCount
3,40,n_O
3,41,maccs_164
3,42,morgan_378
3,43,NumHeteroatoms
3,44,BCUT2D_MRLOW
3,45,maccs_65
3,46,morgan_429
3,47,BCUT2D_MRHI
3,48,polarizability_proxy
3,49,maccs_122
3,50,fr_NH1
3,51,fr_NH2
3,52,maccs_107
3,53,SMR_VSA2
3,54,fr_nitrile
3,55,morgan_147
3,56,MolMR
3,57,SMR_VSA10
3,58,TPSA
3,59,PEOE_VSA14
3,60,NumHAcceptors
3,61,VSA_EState4
3,62,BCUT2D_CHGLO
3,63,morgan_330
3,64,PEOE_VSA4
3,65,maccs_159
3,66,MinPartialCharge
3,67,VSA_EState7
3,68,BCUT2D_LOGPLOW
3,69,maccs_41
3,70,MaxAbsPartialCharge
3,71,morgan_114
3,72,maccs_85
3,73,maccs_146
3,74,BCUT2D_CHGHI
3,75,maccs_112
3,76,fr_Nhpyrrole
3,77,FpDensityMorgan3
3,78,maccs_157
3,79,EState_VSA1
3,80,SlogP_VSA12
3,81,fr_Ar_NH
3,82,VSA_EState2
3,83,BCUT2D_LOGPHI
3,84,FpDensityMorgan2
3,85,Chi1v
3,86,MolLogP
3,87,MinAbsEStateIndex
3,88,NHOHCount
3,89,NumValenceElectrons
3,90,morgan_278
3,91,Chi0v0
3,92,BertzCT
3,93,Chi0v1
3,94,morgan_162
3,95,LabuteASA
3,96,Chi1v0
3,97,maccs_77
3,98,Chi0v
3,99,maccs_134
3,100,SlogP_VSA4
3,101,VSA_EState8
3,102,Chi1v1
3,103,FpDensityMorgan1
3,104,Chi0n
3,105,PEOE_VSA6
3,106,Kappa3
3,107,qed
3,108,Chi1n
3,109,BCUT2D_MWLOW
3,110,VSA_EState6
3,111,ExactMolWt
3,112,SlogP_VSA2
3,113,maccs_79
3,114,Chi4n
3,115,maccs_80
3,116,PEOE_VSA3
3,117,FractionCSP3
3,118,morgan_392
3,119,MolWt
3,120,Chi2v
3,121,Kappa2
3,122,SlogP_VSA8
3,123,PEOE_VSA7
3,124,Chi2v1
3,125,Kappa1
3,126,PEOE_VSA1
3,127,SlogP_VSA3
3,128,Chi2v0
3,129,Chi0
3,130,HeavyAtomMolWt
3,131,Chi3v
3,132,Chi3n
3,133,maccs_106
3,134,Chi1
3,135,BalabanJ
3,136,morgan_360
3,137,Chi3v0
3,138,morgan_175
3,139,Chi4v1
3,140,Chi2n
3,141,SMR_VSA9
3,142,VSA_EState9
3,143,Ipc
3,144,SlogP_VSA5
3,145,Chi4v
3,146,VSA_EState3
3,147,Chi3v1
3,148,Chi4v0
3,149,SMR_VSA5
3,150,maccs_38
3,151,EState_VSA9
3,152,PEOE_VSA8
3,153,n_S
3,154,maccs_88
3,155,fr_ether
3,156,morgan_427
3,157,maccs_140
3,158,EState_VSA4
3,159,morgan_420
3,160,SMR_VSA6
3,161,fr_imidazole
3,162,morgan_123
3,163,EState_VSA2
3,164,EState_VSA3
3,165,VSA_EState10
3,166,PEOE_VSA10
3,167,EState_VSA7
3,168,PEOE_VSA2
3,169,HeavyAtomCount
3,170,fr_ArN
3,171,VSA_EState5
3,172,n_heavy
3,173,EState_VSA6
3,174,SMR_VSA7
3,175,NumRotatableBonds
3,176,maccs_165
3,177,RingCount
3,178,maccs_73
3,179,fr_para_hydroxylation
3,180,maccs_154
3,181,morgan_433
3,182,morgan_77
3,183,maccs_124
3,184,morgan_82
3,185,PEOE_VSA9
3,186,morgan_379
3,187,SlogP_VSA6
3,188,EState_VSA5
3,189,maccs_48
3,190,morgan_302
3,191,maccs_135
3,192,maccs_60
3,193,morgan_319
3,194,maccs_148
3,195,NumAromaticCarbocycles
3,196,fr_pyridine
3,197,PEOE_VSA5
3,198,maccs_61
3,199,fr_C_O
3,200,maccs_110
4,1,n_N
4,2,maccs_161
4,3,SMR_VSA3
4,4,maccs_158
4,5,SMR_VSA1
4,6,maccs_142
4,7,maccs_151
4,8,SlogP_VSA1
4,9,fr_NH0
4,10,mean_electronegativity
4,11,n_F
4,12,maccs_121
4,13,MeanEStateIndex
4,14,HOMO_proxy
4,15,SlogP_VSA10
4,16,HL_gap_proxy
4,17,maccs_111
4,18,MaxEStateIndex
4,19,n_X_halogen
4,20,maccs_65
4,21,MaxAbsEStateIndex
4,22,maccs_100
4,23,EState_VSA10
4,24,fr_halogen
4,25,BCUT2D_MWHI
4,26,fr_Ar_N
4,27,EState_VSA8
4,28,dipole_proxy
4,29,fr_alkyl_halide
4,30,NumAromaticHeterocycles
4,31,VSA_EState1
4,32,HallKierAlpha
4,33,MaxPartialCharge
4,34,MinEStateIndex
4,35,LUMO_proxy
4,36,maccs_107
4,37,NumHeteroatoms
4,38,n_O
4,39,fr_NH2
4,40,maccs_42
4,41,MinAbsPartialCharge
4,42,NOCount
4,43,polarizability_proxy
