mol_id_a,mol_id_b,x_a,x_b,dn_linear,dn_feature,dn_feature_minus_linear
230,21363,0.25,0.75,36.05052260283133,33.638858030420515,-2.411664572410814
230,21363,0.30000000000000004,0.7,36.092815862202556,33.572063311247085,-2.5207525509554713
230,21363,0.35000000000000003,0.6499999999999999,36.13510912157379,33.57185059737768,-2.563258524196108
230,21363,0.4,0.6,36.177402380945026,33.5718744087151,-2.605527972229929
230,21363,0.45,0.55,36.21969564031626,33.55786817615142,-2.661827464164837
230,21363,0.5,0.5,36.261988899687495,33.46557346683064,-2.796415432856854
230,21363,0.55,0.44999999999999996,36.30428215905872,33.463549735619594,-2.8407324234391282
230,21363,0.6000000000000001,0.3999999999999999,36.34657541842996,33.463549735619594,-2.883025682810363
230,21363,0.65,0.35,36.38886867780119,33.498251660250965,-2.890617017550227
230,21363,0.7000000000000001,0.29999999999999993,36.43116193717242,33.910427013777806,-2.5207349233946132
230,21363,0.75,0.25,36.473455196543654,34.52218363701961,-1.951271559524045
230,21363,0.8,0.19999999999999996,36.51574845591489,34.14314284630557,-2.372605609609316
230,21363,0.8500000000000001,0.1499999999999999,36.55804171528612,35.148856457950494,-1.4091852573356292
230,21363,0.9,0.09999999999999998,36.60033497465735,35.14898665680269,-1.4513483178546593
230,21363,0.9500000000000001,0.04999999999999993,36.642628234028585,37.673782688831,1.0311544548024116
230,21363,1.0,0.0,36.68492149339982,37.99429695730463,1.3093754639048072
3381,21380,0.0,1.0,36.01511299993127,29.346780532652193,-6.668332467279075
3381,21380,0.05,0.95,36.020477562417206,29.332174109390103,-6.688303453027103
3381,21380,0.1,0.9,36.02584212490315,29.227515041167955,-6.798327083735195
3381,21380,0.15000000000000002,0.85,36.03120668738909,29.227311755525417,-6.80389493186367
3381,21380,0.2,0.8,36.03657124987503,29.17858344545697,-6.857987804418062
3381,21380,0.25,0.75,36.041935812360975,29.17858344545697,-6.863352366904007
3381,21380,0.30000000000000004,0.7,36.04730037484691,29.17858344545697,-6.868716929389944
3381,21380,0.35000000000000003,0.6499999999999999,36.05266493733285,29.193095548023702,-6.859569389309147
3381,21380,0.4,0.6,36.058029499818794,29.19890747136242,-6.8591220284563725
3381,21380,0.45,0.55,36.06339406230474,29.204171950822275,-6.859222111482463
3381,21380,0.5,0.5,36.068758624790675,29.204171950822275,-6.8645866739684
3381,21380,0.55,0.44999999999999996,36.07412318727661,29.204148148574106,-6.869975038702506
3381,21380,0.6000000000000001,0.3999999999999999,36.079487749762556,29.224910490275132,-6.854577259487424
3381,21380,0.65,0.35,36.0848523122485,29.17643700068528,-6.908415311563221
3381,21380,0.7000000000000001,0.29999999999999993,36.09021687473444,29.177537380775345,-6.912679493959093
3381,21380,0.75,0.25,36.095581437220375,29.186035265591478,-6.909546171628897
3381,21380,0.8,0.19999999999999996,36.10094599970632,29.186035265591478,-6.914910734114841
3381,21380,0.8500000000000001,0.1499999999999999,36.106310562192256,29.186035265591478,-6.920275296600778
3381,21380,0.9,0.09999999999999998,36.1116751246782,29.174961784375927,-6.936713340302273
3381,21380,0.9500000000000001,0.04999999999999993,36.11703968716414,29.174961784375927,-6.94207790278821
3381,21380,1.0,0.0,36.12240424965008,29.178561452059352,-6.9438427975907295
3381,21371,0.0,1.0,35.876151984080856,29.34942168832693,-6.526730295753925
3381,21371,0.05,0.95,35.88846459735932,29.34955885776938,-6.538905739589936
3381,21371,0.1,0.9,35.90077721063778,29.21550288014367,-6.6852743304941065
3381,21371,0.15000000000000002,0.85,35.91308982391624,29.230791204834674,-6.682298619081564
3381,21371,0.2,0.8,35.925402437194705,29.230791204834674,-6.694611232360032
3381,21371,0.25,0.75,35.937715050473166,29.230791204834674,-6.706923845638492
3381,21371,0.30000000000000004,0.7,35.95002766375163,29.230791204834674,-6.719236458916953
