id,source_db,smiles,name,cas,dn,an,epsilon_r,viscosity_cp,dipole_debye,conductivity_S_cm,oxidation_V,reduction_V,family,doi,license,notes,coulombic_efficiency_pct
ELCE-00060,ELCE,COCCOCCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCCOCCOC,COCCOCCOCC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)COCCOCCOC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00061,ELCE,O=C1OCCO1,O=C1OCCO1,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00062,ELCE,COCCCCOC,COCCCCOC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00063,ELCE,COCCOC,COCCOC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00064,ELCE,COCCOC,COCCOC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00065,ELCE,COCCOC,COCCOC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00066,ELCE,CC#N,CC#N,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00067,ELCE,COC(=O)OC,COC(=O)OC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00068,ELCE,CCOP(=O)(OCC)OCC,CCOP(=O)(OCC)OCC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00069,ELCE,COC(=O)OC,COC(=O)OC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00070,ELCE,C1COCO1,C1COCO1,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00071,ELCE,COC(=O)CC(F)(F)F,COC(=O)CC(F)(F)F,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00072,ELCE,O=C1OCC(F)O1,O=C1OCC(F)O1,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00073,ELCE,CCOC(=O)OCC,CCOC(=O)OCC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00074,ELCE,COCCOCCOC,COCCOCCOC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00075,ELCE,COCCOCCOCCOCCOC,COCCOCCOCCOCCOC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00076,ELCE,COCCOC,COCCOC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00077,ELCE,COCCOCCOC,COCCOCCOC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00078,ELCE,COCCOCCOCCOC,COCCOCCOCCOC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00079,ELCE,COCCOCCOCCOCCOC,COCCOCCOCCOCCOC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00080,ELCE,COCCOCCOCCOCCOC,COCCOCCOCCOCCOC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00081,ELCE,C1COCO1,C1COCO1,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
ELCE-00082,ELCE,COCCOC,COCCOC,,nan,nan,nan,nan,nan,nan,nan,nan,liquid_electrolyte,10.1021/acs.chemmater.4c03196,MIT,Electrolytomics,nan
