mol_id,smiles,dn_rf,dn_empirical,dn_final,confidence,is_anchor
685,CCOC(C)C,19.937799999999996,22.015342782196523,20.95083533711431,high,False
686,CCOC(C)(C)C,19.039800000000003,22.006844535270453,20.469634060789716,high,False
687,CCON,25.59360000000004,24.926294517926014,25.25774359229249,high,False
688,CCONC,26.567400000000045,24.918215809757683,25.72959787295863,high,False
689,CCNOCC,28.243200000000055,24.922287917130042,26.53083417650279,high,False
690,CCON(C)C,27.525400000000086,24.883114629678314,26.17093203207997,high,False
691,CCON1CC1,27.17720000000005,24.88722569690625,26.007020402382924,high,False
692,CCOF,18.745399999999986,17.862980619742462,18.29887201193888,high,False
693,CCOCl,21.33959999999999,22.048960264324432,21.691380602824186,high,False
694,CCOC(C)=O,17.727400000000042,19.892335828627772,18.778695220073647,high,False
695,CCOC(=O)O,17.441000000000017,18.40296167284418,17.915525516603626,high,False
696,CCOC(N)=O,25.718400000000056,22.900560133821383,24.268616889836824,high,False
697,CCOC(=O)NC,27.35140000000005,22.841465564178037,24.994920708657197,medium,False
698,CCOC#N,24.047200000000075,24.69406433796271,24.368485877211548,high,False
699,CCOS,21.991399999999985,22.05411650570051,22.022735927297084,high,False
700,CCOSC,22.03719999999997,21.98721710195232,22.012194364014302,high,False
701,CCOS(C)=O,21.453999999999997,19.732154432174006,20.57507329726582,high,False
702,CCOS(C)(=O)=O,20.963600000000003,18.076038648889877,19.466351579581314,medium,False
703,CCOc1ccccc1,17.78980000000001,22.13798540273383,19.845158923968196,medium,False
704,CCOc1ccncc1,30.00060000000003,25.02299322783381,27.3989928762163,medium,False
705,CCOc1cnccn1,28.392400000000034,28.046858219197823,28.219100221352793,high,False
706,CCOC1CC1,18.2542,21.991787490499885,20.036029726696928,medium,False
707,CCOC1CCOC1,18.87439999999999,20.40513505257403,19.62484856085017,high,False
708,CCOC1CCNC1,28.87100000000003,24.9303513962172,26.828421033675976,medium,False
709,CCOC(O)CC,20.30540000000001,19.980816606349002,20.142454505808352,high,False
710,CCOC(O)O,19.711000000000002,18.452054568755898,19.071141748850476,high,False
711,CCOC(C)O,20.152600000000014,19.997069613539363,20.074684184161246,high,False
712,CCOP(=O)(OC)OC,17.816200000000016,16.470339301900232,17.130057182348086,high,False
713,CCCCCOC,19.580399999999987,22.070009027660788,20.78796778824734,high,False
714,COCC(C)C,20.177199999999978,22.052495147797593,21.09401823020311,high,False
715,COCC(C)(C)C,18.96279999999999,22.058434133077323,20.452131301620337,high,False
716,COCOC,19.834399999999984,20.462347033086257,20.14592703235683,high,False
717,CCOCOC,20.117199999999986,20.44519003885486,20.28053197156452,high,False
718,CCCOCOC,20.117,20.44946973688541,20.282553653248986,high,False
719,COCOC(C)C,20.171200000000002,20.436212707153054,20.303273966494313,high,False
720,COCN,25.58360000000004,24.96624956933746,25.27303983461631,high,False
721,CNCOC,26.79160000000004,24.996504783426083,25.878492180875597,high,False
722,CCNCOC,28.744200000000053,25.001899213150754,26.807827054102113,high,False
723,COCN(C)C,28.227200000000074,24.977977416382767,26.552935132066313,high,False
724,COCN1CC1,27.789200000000047,24.968285659253873,26.341007646674015,high,False
725,COCF,18.79419999999999,18.004010403887722,18.394862661426597,high,False
726,COCCl,20.669799999999977,22.08571176761653,21.366030166932735,high,False
727,COCC#N,23.880000000000067,24.614504538064768,24.24447088242984,high,False
728,COCS,20.98479999999999,22.117217612873922,21.543569531594258,high,False
729,COCSC,21.649199999999965,22.08820376278585,21.86760025474452,high,False
730,COCS(C)=O,22.127599999999987,19.733367402222516,20.896221202155633,high,False
731,COCS(C)(=O)=O,21.040200000000002,18.111182563143828,19.52083254794884,medium,False
732,COCc1ccccc1,18.360800000000015,22.116365015264613,20.151281715371628,medium,False
733,COCc1ccncc1,29.630000000000027,24.9920537412606,27.21239703432155,medium,False
734,COCc1cnccn1,28.372600000000027,27.975450180951817,28.17332528836584,high,False
735,COCOC1CC1,18.292400000000004,20.412655528634637,19.323469150025737,high,False
736,COCC1CC1,18.05539999999999,22.03236542555661,19.945003652659345,medium,False
737,COCC1CCOC1,19.05319999999999,20.39705489878183,19.71367967674908,high,False
738,COCC1CCNC1,29.149800000000024,24.9520905327564,26.96939837318851,medium,False
739,CCC(O)COC,19.80899999999999,19.97659671852035,19.892621858296344,high,False
740,COCC(O)O,19.70620000000001,18.45621935296345,19.070971391446438,high,False
741,COCC(C)O,20.130400000000005,19.991774321968574,20.060967419617537,high,False
742,COCP(=O)(OC)OC,18.34540000000001,16.506430482845808,17.401639858932825,high,False
743,CCCCCOCC,19.189600000000006,22.052898173805545,20.571492284130947,high,False
744,CCOCC(C)C,19.877799999999993,22.03538407202029,20.9288068820658,high,False
745,CCOCC(C)(C)C,18.8192,22.041322830206656,20.36664092594125,high,False
746,CCOCO,19.630799999999997,20.050460117245194,19.839520469749687,high,False
747,CCOCOCC,20.2778,20.452926968853976,20.365175238357935,high,False
748,CCCOCOCC,20.254600000000003,20.457206666827584,20.35565125840797,high,False
749,CCOCOC(C)C,20.177200000000003,20.443949631626378,20.310136890411442,high,False
750,CCOCN,26.339000000000034,24.97152162066509,25.646148014208656,high,False
751,CCOCNC,27.644600000000054,24.979366938582245,26.278215450641472,high,False
752,CCNCOCC,29.017600000000044,24.984761364932943,26.925783394045926,medium,False
753,CCOCN(C)C,28.489800000000056,24.960839386750575,26.66700811790944,high,False
754,CCOCN1CC1,28.508800000000043,24.951148006507978,26.670719680727323,high,False
755,CCOCF,19.0136,17.989343664633772,18.494382517453257,high,False
756,CCOCCl,20.907199999999985,22.09043234995994,21.490674424668065,high,False
757,CCOCC#N,24.666000000000064,24.617327186218652,24.6416515756406,high,False
758,CCOCS,21.31219999999998,22.100089404752552,21.702569557818883,high,False
759,CCOCSC,21.60359999999998,22.071074428317825,21.83608626836793,high,False
760,CCOCS(C)=O,22.178399999999982,19.732742028280963,20.919862470867876,high,False
761,CCOCS(C)(=O)=O,20.789399999999997,18.110555895164165,19.403803511861426,high,False
762,CCOCc1ccccc1,18.359800000000014,22.099247183994848,20.142933213628766,medium,False
763,CCOCc1ccncc1,29.70360000000003,24.97493591283441,27.23684097652422,medium,False
764,CCOCc1cnccn1,28.480600000000027,27.958343754435848,28.218263680329205,high,False
765,CCOCOC1CC1,18.6076,20.4203924529895,19.49293447914519,high,False
766,CCOCC1CC1,18.121,22.01525434232213,19.973442966529813,medium,False
767,CCOCC1CCOC1,18.853999999999996,20.40279689990554,19.613116344702057,high,False
768,CCOCC1CCNC1,29.264800000000026,24.93497964505913,27.013278074249467,medium,False
769,CCOCC(O)CC,19.9366,19.979439267307225,19.958008139506237,high,False
770,CCOCC(O)O,19.89500000000001,18.459060967072205,19.163585727621584,high,False
771,CCOCC(C)O,20.448400000000007,19.99461687460995,20.2202355005765,high,False
772,CCOCP(=O)(OC)OC,18.332000000000008,16.50581294735121,17.394957974966267,high,False
773,CCCO,19.75699999999998,21.639396365468546,20.67678780644038,high,False
774,CCCCO,20.090000000000003,21.63739362750267,20.849346224199184,high,False
775,CCCCCO,20.346,21.642693606161256,20.984333301559925,high,False
776,CCCCCCO,19.77480000000001,21.65240668199831,20.692317696555417,high,False
777,CC(C)CCO,20.265600000000013,21.63593977380156,20.939563058477443,high,False
778,CC(C)(C)CCO,19.459,21.63310358891245,20.517274739512736,high,False
779,COCCO,19.875399999999996,20.03434267640079,19.95471308815379,high,False
780,CCCOCCO,20.21440000000001,20.048146801070114,20.131101775500312,high,False
781,CC(C)OCCO,20.150800000000007,20.039513488491952,20.09507970633368,high,False
782,NCCO,25.438800000000047,24.59443152542937,25.01305308612073,high,False
783,CNCCO,26.439400000000038,24.566241820393323,25.485617394642574,high,False
784,CCNCCO,28.60440000000004,24.566767695658655,26.508822114037798,medium,False
785,CN(C)CCO,27.87080000000006,24.54387659863797,26.15449246124498,high,False
786,OCCN1CC1,27.669800000000023,24.533694144848823,26.054604396327697,high,False
787,OCCF,18.985999999999997,18.01813481029499,18.495737549723735,high,False
788,OCCCl,20.4856,21.740440609985907,21.103695651708193,high,False
789,O=CCCO,17.609400000000036,19.85189286811477,18.697056513574026,high,False
790,CC(=O)CCO,17.656400000000026,19.77863511581264,18.68741536593102,high,False
791,O=C(O)CCO,17.56640000000002,18.33088866550078,17.94457362696738,high,False
792,NC(=O)CCO,25.43820000000005,22.822663589982046,24.094967958780988,high,False
793,CNC(=O)CCO,26.869800000000055,22.76226731216775,24.730903142111213,medium,False
794,N#CCCO,24.07040000000006,24.573939461080432,24.320866604707817,high,False
795,OCCS,21.0526,21.69048398995526,21.369161968756103,high,False
796,CSCCO,21.480199999999996,21.662811875469714,21.571312701072795,high,False
797,CS(=O)CCO,22.162,19.7148038718564,20.90261905618723,high,False
798,CS(=O)(=O)CCO,21.013800000000007,18.096550837942615,19.500699987394263,medium,False
799,OCCc1ccccc1,18.585200000000018,21.66555121277549,20.066354985389733,high,False
800,OCCc1ccncc1,29.41820000000003,24.540099579988187,26.868672417222427,medium,False
801,OCCc1cnccn1,28.162200000000034,27.49725188457919,27.827739883502883,high,False
802,OCCOC1CC1,18.296800000000008,20.026309492928267,19.142031750318722,high,False
803,OCCC1CC1,18.374000000000006,21.618255621366927,19.930224002428975,medium,False
804,OCCC1CCOC1,19.21679999999999,19.98163776615469,19.595487659781302,high,False
805,OCCC1CCNC1,28.808000000000025,24.52413426580638,26.579903309255112,medium,False
806,CCC(O)CCO,19.61,19.95631160002957,19.782397996112095,high,False
807,OCCC(O)O,19.258400000000016,18.43439689718687,18.84189452270615,high,False
808,CC(O)CCO,19.977400000000014,19.971655337293146,19.974527462126368,high,False
809,COP(=O)(CCO)OC,18.10880000000001,16.490323483867066,17.28062411791461,high,False
810,CCCOCO,19.825200000000006,20.056999762694282,19.940763067028474,high,False
811,CCCCOCO,19.987400000000004,20.06688754729133,20.027104337939893,high,False
812,CC(C)OCO,20.05980000000001,20.046192386832185,20.05299503917997,high,False
813,CC(C)(C)OCO,19.445,20.04041605840709,19.74046327358418,high,False
814,NOCO,24.928000000000036,22.95018681437749,23.918659178741663,high,False
815,CNOCO,25.810600000000044,22.917539298577964,24.321090432377357,high,False
816,CCNOCO,27.334400000000052,22.923870635379387,25.032184273365267,medium,False
817,CN(C)OCO,26.20160000000008,22.894960267038172,24.492541536819516,high,False
818,OCON1CC1,26.26040000000005,22.907906054234882,24.526939803950896,high,False
819,OCOF,18.4966,16.290709256950425,17.358650086977075,high,False
820,OCOCl,20.568000000000016,20.095315126336065,20.33028385238338,high,False
821,CC(=O)OCO,17.718800000000048,18.312677041388994,18.013291258428154,high,False
822,O=C(O)OCO,17.369800000000012,16.823280920544306,17.094356522948463,high,False
823,NC(=O)OCO,24.82240000000005,21.320858224748605,23.005105328991668,medium,False
824,CNC(=O)OCO,25.86280000000005,21.26176416509343,23.449706911792724,medium,False
825,N#COCO,23.76800000000006,23.090106415025243,23.426601317142044,high,False
826,OCOS,20.988200000000013,20.03566588506856,20.50640296904838,high,False
827,CSOCO,21.249200000000005,20.001991730524722,20.61616653697447,high,False
828,CS(=O)OCO,21.384800000000013,18.15042077771182,19.701348132734772,medium,False
829,CS(=O)(=O)OCO,20.559600000000014,16.49423987915702,18.41507464604792,medium,False
830,OCOc1ccccc1,17.73660000000001,20.155235833328298,18.907283143841976,high,False
831,OCOc1ccncc1,29.438400000000033,23.037813456968358,26.042203587093358,medium,False
832,OCOc1cnccn1,27.31000000000004,26.050171911731564,26.672648816894622,high,False
833,OCOC1CC1,18.46540000000001,20.031467980970856,19.23250032772181,high,False
834,OCOC1CCOC1,18.274200000000004,18.43628058100795,18.355061388986297,high,False
