id,source_db,smiles,name,cas,formula,sigma_ion_S_cm,E_g_eV,migration_barrier_eV,space_group,icsd_id,dn,an,epsilon_r,viscosity_cp,dipole_debye,conductivity_S_cm,oxidation_V,reduction_V,family,doi,license,notes
SUP-0327,McHaffie_superionic,,Li7La3Hf2O12,,Li7La3Hf2O12,9.85e-07,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0328,McHaffie_superionic,,Li3PS4,,Li3PS4,2.6e-07,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0329,McHaffie_superionic,,Li3PS4,,Li3PS4,8.93e-07,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0330,McHaffie_superionic,,Li0.4Na0.1La0.5Nb2O6,,Li0.4Na0.1La0.5Nb2O6,9.92e-06,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0331,McHaffie_superionic,,Li0.3Na0.2La0.5Nb2O6,,Li0.3Na0.2La0.5Nb2O6,1.11e-05,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0332,McHaffie_superionic,,Li0.2Na0.3La0.5Nb2O6,,Li0.2Na0.3La0.5Nb2O6,1.18e-05,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0333,McHaffie_superionic,,Li0.1Na0.4La0.5Nb2O6,,Li0.1Na0.4La0.5Nb2O6,1.21e-05,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0334,McHaffie_superionic,,Li0.07Na0.43La0.5Nb2O6,,Li0.07Na0.43La0.5Nb2O6,1.23e-05,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0335,McHaffie_superionic,,Li0.04Na0.46La0.5Nb2O6,,Li0.04Na0.46La0.5Nb2O6,5.91e-06,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0336,McHaffie_superionic,,Li0.02Na0.48La0.5Nb2O6,,Li0.02Na0.48La0.5Nb2O6,3.99e-06,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0337,McHaffie_superionic,,Li(Ti1.4Sn0.6)(PO4)3,,Li(Ti1.4Sn0.6)(PO4)3,2.28e-05,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0338,McHaffie_superionic,,Li(Ti0.6Sn1.4)(PO4)3,,Li(Ti0.6Sn1.4)(PO4)3,9.42e-06,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0339,McHaffie_superionic,,Li(Ti0.4Sn1.6)(PO4)3,,Li(Ti0.4Sn1.6)(PO4)3,3.15e-06,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0340,McHaffie_superionic,,Li7La3Zr2O12,,Li7La3Zr2O12,1.63e-06,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0341,McHaffie_superionic,,Li6.5La3Zr1.5Ta0.5O12,,Li6.5La3Zr1.5Ta0.5O12,0.00067,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0342,McHaffie_superionic,,Li6.75La3Zr1.75Ta0.25O12,,Li6.75La3Zr1.75Ta0.25O12,0.00087,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0343,McHaffie_superionic,,LiV(PO4)F,,LiV(PO4)F,8.1e-07,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0344,McHaffie_superionic,,Li0.9Nb0.2O12P3Ti1.8,,Li0.9Nb0.2O12P3Ti1.8,3.2e-08,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
SUP-0345,McHaffie_superionic,,Li7La3Zr2O12,,Li7La3Zr2O12,2.85e-06,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,superionic_conductor,10.22002/23mvv-6gk43,CC BY 4.0,McHaffie superionic conductor dataset
